ref,name,proceso,price,weight,ubicacion,disponible,order,variedad,finca,municipio,region,altura,puntaje,humedad,actividad_agua,densidad,criba,trilla,recomendaciones_es,recomendaciones_en,nota_finca_es,nota_finca_en
RG-001,Plus Washed Inza,Lavado,$5.85/lb,140 Bags,landed_us,true,0,Caturra / Castillo,Varios — Inza,,Cauca,"1,800 – 2,100",UGQ,10.8%,0.55,710 g/L,15/16,UGQ,"Lavado clásico de Inza — perfil limpio, chocolate y cítricos suaves. Tueste medio, desarrollo 15–18%. Funciona bien como base de blend o single origin.",,"Lotes seleccionados de productores en Inza, Cauca. Café lavado de altura con trazabilidad regional.","Selected lots from producers in Inza, Cauca. High-altitude washed coffee with regional traceability."
RG-002,Standard Washed,Lavado,NYSE +$1.20/lb,280 Bags,colombia,true,1,Castillo / Colombia,Varios — Tolima,,Tolima,"1,800 – 2,100",UGQ/EP 10,11.0%,0.56,700 g/L,15/16,UGQ/EP 10,Café de volumen con buena consistencia. Tueste medio a medio-oscuro. Ideal para espresso blends y café de servicio.,,"Lotes de productores en Tolima. Disponible FOB Colombia, mínimo 7 sacos. Precio indexado a bolsa de Nueva York.","Lots from producers in Tolima. Available FOB Colombia, 7-bag minimum. Price indexed to the New York exchange."
RG-003,Organic Washed,Lavado,$5.70/lb,8 Bags,landed_us,true,2,Castillo / Caturra,Varios — Cesar,,Cesar,"1,200 – 1,400",UGQ,10.9%,0.55,695 g/L,15/16,UGQ,"Orgánico certificado. Perfil suave, cuerpo medio, notas de nuez y panela. Tueste medio recomendado.",,"Café orgánico del Cesar, zona baja de la Sierra Nevada. Últimos 8 sacos disponibles en bodega Douglas.","Organic coffee from Cesar, the lower slopes of the Sierra Nevada. Last 8 bags available at the Douglas warehouse."
HS-001,Pink Bourbon Washed,Lavado,$11/lb,700 lbs,colombia,true,3,Pink Bourbon,Ibagué,Ibagué,Tolima,"2,200",O2-22,10.5%,0.53,730 g/L,16/17,EP,"Pink Bourbon lavado de altura — acidez brillante, floral, dulzor complejo. Tueste claro, desarrollo corto (12–15%). Excelente para filtro.",,"Finca [Nombre de la finca], administrada por la familia [Apellido], se esmera en cuidar cada detalle del cultivo y proceso para ofrecer siempre lo mejor de su producción cafetera.","Finca [Farm name], run by the [Surname] family, takes care of every detail of cultivation and processing to always deliver the best of its harvest."
HS-002,Chiroso Natural,Natural,$13/lb,220 lbs,colombia,true,4,Chiroso,Urrao,Urrao,Antioquia,"2,300",O2-22,11.0%,0.55,705 g/L,16/17,EP,"Chiroso natural de altura extrema — notas de fruta tropical, fermentación limpia. Carga baja (190°C), desarrollo 14–16%.",,"Chiroso de Urrao, Antioquia, a 2,300 msnm. Secado natural. EWX Medellín.","Chiroso from Urrao, Antioquia, at 2,300 masl. Natural dried. EWX Medellín."
HS-003,Chiroso Washed,Lavado,$11/lb,120 lbs,colombia,true,5,Chiroso,Urrao,Urrao,Antioquia,"2,300",O2-22,10.6%,0.54,720 g/L,16/17,EP,"Chiroso lavado — perfil limpio, acidez cítrica, cuerpo sedoso. Tueste claro a medio. Desarrollo 15–17%.",,"Chiroso lavado de Urrao, Antioquia. Lote limitado de 120 lbs. EWX Medellín.","Washed Chiroso from Urrao, Antioquia. Limited 120 lb lot. EWX Medellín."
HS-004,Chiroso Washed Ibagué,Lavado,$12/lb,440 lbs,colombia,true,6,Chiroso,Ibagué,Ibagué,Tolima,"2,200",O2-22,10.7%,0.54,715 g/L,16/17,EP,Chiroso lavado de Tolima — perfil más dulce que el de Antioquia. Notas de caramelo y fruta de hueso. Desarrollo 14–16%.,,"Chiroso de Ibagué, Tolima, a 2,200 msnm. EWX Medellín, 440 lbs disponibles.","Chiroso from Ibagué, Tolima, at 2,200 masl. EWX Medellín, 440 lbs available."
HS-005,Java Natural,Natural,$12/lb,700 lbs,colombia,true,7,Java,Ibagué,Ibagué,Tolima,"2,200",O2-22,11.1%,0.56,700 g/L,16/17,EP,"Java natural — cuerpo pesado, fruta oscura, chocolate. Tueste medio, desarrollo 15–18%. Bueno para espresso y filtro.",,"Variedad Java de Ibagué, Tolima. Proceso natural, 700 lbs disponibles EWX Medellín.","Java variety from Ibagué, Tolima. Natural process, 700 lbs available at EWX Medellín."
HS-006,Wush Wush Washed,Lavado,$13/lb,700 lbs,colombia,true,8,Wush Wush,Ibagué,Ibagué,Tolima,"2,200",O2-22,10.4%,0.53,735 g/L,16/17,EP,"Wush Wush — variedad etíope adaptada en Colombia. Perfil floral y cítrico brillante. Tueste claro, desarrollo corto (12–14%).",,"Wush Wush de Ibagué, Tolima. Variedad rara, lavado. 700 lbs EWX Medellín.","Wush Wush from Ibagué, Tolima. Rare variety, washed. 700 lbs at EWX Medellín."
HS-007,Geisha Honey,Honey,$14/lb,700 lbs,colombia,true,9,Geisha,Ibagué,Ibagué,Tolima,"2,200",O2-22,10.5%,0.53,740 g/L,17/18,EP,"Geisha honey — complejidad floral con dulzor de mucílago. Café denso, carga alta. Desarrollo corto (12–15%) para preservar jazmín y bergamota.",,"Geisha de Ibagué, Tolima. Proceso honey. 700 lbs disponibles EWX Medellín.","Geisha from Ibagué, Tolima. Honey process. 700 lbs available at EWX Medellín."
HS-008,Geisha Washed,Lavado,$14/lb,120 lbs,colombia,true,10,Geisha,Urrao,Urrao,Antioquia,"2,300",O2-22,10.3%,0.52,745 g/L,17/18,EP,"Geisha lavado de Antioquia — perfil limpio, floral, té de jazmín. Muy denso, carga alta (205°C). Desarrollo mínimo (10–12%).",,"Geisha de Urrao, Antioquia, a 2,300 msnm. Lote limitado de 120 lbs. EWX Medellín.","Geisha from Urrao, Antioquia, at 2,300 masl. Limited 120 lb lot. EWX Medellín."
